N° SERIE,MARQUE,MODELE ou DESCRIPTION,TYPE MATERIEL,AFFECTATION,DATE ENTREE,FOURNISSEUR,N° FACTURE,PRIX ACHAT HT,DUREE PROBABLE D'UTILISATION en mois,DATE REEVALUATION
ASIN:B0CW9QW1LH,NON DEFINI,Kit RasTech Raspberry Pi 5 8GO Kit 64GO,Accesssoires,Local Tech,04/06/25,AMAZON,FR5Y4XIABEI,141.56,0,
ACC0001,NON DEFINI,Kit RasTech Raspberry Pi 5 8GO Kit 64GO,Accesssoires,Local Tech,04/06/25,AMAZON,FR5Y4XIABEI,141.56,0,
CAS0001,JABRA,Evolve 40,Casque audio,Personnel,01/04/25,LDLC PRO,FV202500002758,96.56,60,01/04/30
CAS0002,JABRA,Evolve 40,Casque audio,Personnel,01/04/25,LDLC PRO,FV202500002758,96.56,60,01/04/30
CAS0003,JABRA,Evolve 40,Casque audio,Personnel,01/07/25,LDLC PRO,FV202500157939,96.56,60,01/07/30
CAS0004,JABRA,Evolve 30II,Casque audio,Personnel,22/07/25,LDLC PRO,FV202500199200,85.75,60,22/07/30
CAS0005,JABRA,Evolve 30II,Casque audio,Personnel,22/07/25,LDLC PRO,FV202500199200,85.75,60,22/07/30
XU2294HSU-B1,IIYAMA,PROLITE,Ecran PC,Personnel,22/03/22,INMACWSTORE,97036822,131.00,60,22/03/27
,IIYAMA,PROLITE,Ecran PC,Personnel,18/01/23,LDLC PRO,FV202200681650,131.17,60,18/01/28
,IIYAMA,PROLITE,Ecran PC,Personnel,15/02/23,LDLC PRO,FV202200752254,131.87,60,15/02/28
5MWCH9DW110194,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,05/06/23,LDLC PRO,FV202300124357,98.71,60,05/06/28
106NTKFAN493,LG,Ecran 24'' Model 24MP60G,Ecran PC,Personnel,25/07/23,ARTO / VIA BACK MARKET,20230725-BM4B-170EU-S-242,90.75,60,25/07/28
MMLXQEE01184206BB54213,ACER,Ecran 24'' Model 24MP60G,Ecran PC,Personnel,25/08/23,LM ECO PRODUCTION / VIA BACK MARKET,20230825-BM4B-4EU-S-277,96.37,60,25/08/28
XU2492HSU,IIYAMA,PROLITE,Ecran PC,Personnel,05/10/23,LDLC PRO,FV202300373778,106.87,60,05/10/28
,IIYAMA,PROLITE,Ecran PC,Personnel,05/10/23,LDLC PRO,FV202300373778,106.87,60,05/10/28
XU2492HSU,IIYAMA,"""Ecran 24""""""",Ecran PC,Personnel,26/12/23,LDLC PRO,FV202300577009,98.54,60,26/12/28
R58N30MXPVL,SAMSUNG,Galaxy A40,Ecran PC,Personnel,09/04/24,UTOPYA,FA997591,59.95,60,09/04/29
5mwch9dx105202,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,09/07/24,LDLC PRO,FV202400172677,90.38,60,09/07/29
5mwch9dx105193,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,09/07/24,LDLC PRO,FV202400172677,90.38,60,09/07/29
5mwch9dx105173,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,09/07/24,LDLC PRO,FV202400172677,90.38,60,09/07/29
5mwch9dx105193,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,09/07/24,LDLC PRO,FV202400172677,90.38,60,09/07/29
SMWCH8AX300409H,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,28/08/24,LDLC PRO,FV202400252544,90.38,60,28/08/29
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,29/08/24,LDLC PRO,FV202400256141,90.38,60,29/08/29
CHUAX500852A,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,23/09/24,LDLC PRO,FV202400301435,90.38,60,23/09/29
S24C310EA,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,15/10/24,LDLC PRO,FV202400344077,90.38,60,15/10/29
5MWCHBAX405129A,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,23/12/24,LDLC PRO,FV202400506062,82.04,60,23/12/29
5MWCH8AX405102A,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,23/12/24,LDLC PRO,FV202400506062,82.04,60,23/12/29
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,26/02/25,LDLC PRO,FV202400638589,82.04,60,26/02/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,01/04/25,LDLC PRO,FV202500002758,82.04,60,01/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Personnel,01/04/25,LDLC PRO,FV202500002758,82.04,60,01/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
,SAMSUNG,"""Ecran 24""""""",Ecran PC,Flex office,14/04/25,LDLC PRO,FV202500030062,82.04,60,14/04/30
